M__DEPTH,SP,GR,CALI,BitSize,LL8,ILM,ILD,RHOB,NPHI,DT,MudWgt,DEPT,VCLGR,VCLND,VCLRT,VCLSP,VCL,PHISw,PHISwshc,PHISrhg,PHISrhgshc,PHID,PHIDshc,PHIN,PHINshc,PHIxND,PHIE,SWa,BVW,matrix
3027.5,-9.948269999999999,77.9345,8.5128,8.5,,14.0688,15.1035,2.5212,25.9091,79.552,10.3,3027.5,0.39931052631578945,0.18675346938775494,0.2472003408270196,0.8341955,0.39931052631578945,0.18152452830188684,0.07755310824230392,0.18896445092518105,0.08499303086559813,0.08309677419354841,0.018691850594227524,0.25909099999999996,0.07940126315789474,0.04904655687606113,0.04904655687606113,1.0,0.04904655687606113,0.5516429168081494
3028.0,-10.15827,81.3129,8.5125,8.5,,14.2789,15.0994,2.5085,26.6072,79.5788,10.3,3028.0,0.43487263157894734,0.19089061224489812,0.24732498793910296,0.8306954999999999,0.43487263157894734,0.1817267924528302,0.06849580536246276,0.18911129597329943,0.075880308882932,0.091290322580645,0.021149575551782512,0.266072,0.07037931578947369,0.0457644456706281,0.0457644456706281,1.0,0.0457644456706281,0.5193629227504246
3028.5,-9.42418,83.671,8.5114,8.5,,14.2877,14.9942,2.5038,26.1566,79.7987,10.3,3028.5,0.4596947368421053,0.1750595918367347,0.2505441367530989,0.8429303333333333,0.4596947368421053,0.1833864150943396,0.06369231380337631,0.19031246749633765,0.07061836620537437,0.09432258064516123,0.020178268251273265,0.261566,0.05470336842105262,0.037440818336162945,0.037440818336162945,1.0,0.037440818336162945,0.5028644448217316
3029.0,-8.63188,84.3178,8.5028,8.5,,14.0952,14.7922,2.5028,26.004,79.8831,10.3,3029.0,0.4665031578947369,0.1703020408163267,0.25684222753809005,0.8561353333333332,0.4665031578947369,0.1840233962264151,0.06255653624627605,0.19077173394622893,0.06930487396608989,0.09496774193548374,0.01972529711375197,0.26004,0.0501135789473684,0.03491943803056018,0.03491943803056018,1.0,0.03491943803056018,0.49857740407470286
3029.5,-8.88068,84.5411,8.5014,8.5,,13.8579,14.5713,2.504,26.1749,80.0518,10.3,3029.5,0.4688536842105263,0.17571183673469387,0.2639164837186886,0.8519886666666667,0.4688536842105263,0.1852966037735849,0.06321771996027804,0.1916868202838662,0.06960793647055934,0.09419354838709673,0.01857198641765699,0.261749,0.05076484210526317,0.034668414261460084,0.034668414261460084,1.0,0.034668414261460084,0.49647790152801363
3030.0,-9.33279,83.6715,8.506,8.5,,13.533,14.2586,2.506,26.1905,80.2514,10.3,3030.0,0.45969999999999994,0.1781346938775508,0.2742938770844363,0.8444535,0.45969999999999994,0.18680301886792455,0.06710754716981136,0.1927645499019332,0.07306907820382001,0.0929032258064517,0.018758064516129117,0.261905,0.05504000000000001,0.03689903225806457,0.03689903225806457,1.0,0.03689903225806457,0.5034009677419354
3030.5,-9.40209,82.4074,8.5038,8.5,,13.2449,13.8766,2.508,25.9478,80.2287,10.3,3030.5,0.4463936842105263,0.1742318367346939,0.2876134245843521,0.8432985,0.4463936842105263,0.18663169811320757,0.07040088977159883,0.19264225271006513,0.0764114443684564,0.0916129032258064,0.019613921901527956,0.259478,0.058600842105263166,0.03910738200339556,0.03910738200339556,1.0,0.03910738200339556,0.5144989337860781
3031.0,-9.76169,81.365,8.5034,8.5,,13.3517,14.1027,2.5084,25.5308,80.1976,10.3,3031.0,0.4354210526315789,0.1644277551020407,0.27963979066421196,0.8373051666666667,0.4354210526315789,0.18639698113207542,0.07302319761668319,0.1924745877682125,0.07910080425282026,0.0913548387096774,0.021125636672325948,0.255308,0.05936852631578951,0.04024708149405773,0.04024708149405773,1.0,0.04024708149405773,0.5243318658743633
3031.5,-9.5669,80.2153,8.5008,8.5,,13.7779,14.5244,2.507,25.3519,80.0096,10.3,3031.5,0.423318947368421,0.15861795918367358,0.26544495144244923,0.8405516666666666,0.423318947368421,0.18497811320754723,0.07475544389275081,0.1914582750069992,0.08123560569220277,0.0922580645161289,0.02398081494057712,0.253519,0.06302547368421056,0.04350314431239384,0.04350314431239384,1.0,0.04350314431239384,0.5331779083191851
3032.0,-9.3973,78.1213,8.5033,8.5,,14.1345,14.9837,2.5112,25.8351,79.9917,10.3,3032.0,0.4012768421052632,0.17473714285714295,0.25086767686979483,0.8433783333333333,0.4012768421052632,0.18484301886792448,0.0803596146971201,0.19136125998072298,0.0868778558099186,0.08954838709677408,0.024826315789473558,0.258351,0.07777642105263155,0.051301368421052554,0.051301368421052554,1.0,0.051301368421052554,0.5474217894736841
3032.5,-9.427610000000001,77.6026,8.5081,8.5,,14.5926,15.3058,2.5234,25.4782,79.978,10.3,3032.5,0.39581684210526313,0.17844571428571435,0.2411232591071363,0.8428731666666667,0.39581684210526313,0.1847396226415094,0.08167787884806352,0.19128697891920274,0.08822523512575686,0.0816774193548386,0.017835993208828407,0.254782,0.07666442105263162,0.04725020713073001,0.04725020713073001,1.0,0.04725020713073001,0.5569329507640068
3033.0,-9.676810000000001,79.4829,8.5043,8.5,,14.6868,15.3845,2.5288,25.4086,79.7776,10.3,3033.0,0.41560947368421053,0.18225142857142848,0.23879663127971318,0.8387198333333333,0.41560947368421053,0.1832271698113208,0.07501187288977165,0.19019749904735167,0.08198220212580251,0.07819354838709677,0.011159762308998289,0.254086,0.06706173684210526,0.03911074957555177,0.03911074957555177,1.0,0.03911074957555177,0.5452797767402378
3033.5,-9.45921,82.2155,8.505,8.5,,14.7475,15.4574,2.5235,25.8417,79.3934,10.3,3033.5,0.44437368421052637,0.18744979591836716,0.2366594667482045,0.8423465,0.44437368421052637,0.1803275471698113,0.0646227010923535,0.1880934057490925,0.0723885596716347,0.0816129032258065,0.009939728353140942,0.258417,0.05844884210526313,0.03419428522920204,0.03419428522920204,1.0,0.03419428522920204,0.5214320305602715
3034.0,-9.517719999999999,83.0505,8.4998,8.5,,14.788,15.4903,2.5191,26.1369,79.4752,10.3,3034.0,0.4531631578947368,0.1901893877551019,0.23570050604801188,0.8413713333333334,0.4531631578947368,0.18094490566037735,0.06295147964250249,0.18854309268803351,0.07054966667015865,0.08445161290322582,0.011360780984719876,0.261369,0.05744557894736843,0.03440317996604415,0.03440317996604415,1.0,0.03440317996604415,0.512433662139219
3034.5,-9.73382,80.307,8.5059,8.5,,14.7574,15.4574,2.516,25.787,79.6448,10.3,3034.5,0.4242842105263158,0.1784571428571428,0.2366594667482045,0.8377696666666666,0.4242842105263158,0.18222490566037738,0.07175090367428005,0.18947250793523246,0.07899850594913513,0.08645161290322576,0.018018675721561905,0.25787,0.06694210526315786,0.04248039049235988,0.04248039049235988,1.0,0.04248039049235988,0.5332353989813243
3035.0,-10.06413,77.8744,8.4995,8.5,,14.7368,15.4416,2.5114,25.5195,79.7465,10.3,3035.0,0.39867789473684206,0.16721224489795922,0.2371212194717206,0.8322645000000001,0.39867789473684206,0.18299245283018867,0.0791857557100298,0.19002793226034997,0.0862212351401911,0.08941935483870958,0.025116468590831817,0.255195,0.0757899473684211,0.050453207979626456,0.050453207979626456,1.0,0.050453207979626456,0.5508688972835314
3035.5,-10.34563,75.9766,8.5033,8.5,,14.6283,15.3317,2.5065,25.3396,79.5893,10.3,3035.5,0.378701052631579,0.15780653061224484,0.24035531159851245,0.8275728333333333,0.378701052631579,0.18180603773584902,0.08320085799404166,0.18916880158513766,0.09056362184333029,0.0925806451612903,0.03149983022071304,0.253396,0.08298052631578948,0.05724017826825126,0.05724017826825126,1.0,0.05724017826825126,0.5640587691001697
3036.0,-10.47873,73.9186,8.458,8.5,,14.5339,15.2306,2.485,25.0441,79.2849,10.3,3036.0,0.3570378947368421,0.1286310204081631,0.2433657609598841,0.8253545,0.3570378947368421,0.17950867924528296,0.08654409533267125,0.1874955067106094,0.0945309227979977,0.10645161290322584,0.04886485568760614,0.250441,0.08977394736842104,0.06931940152801358,0.06931940152801358,1.0,0.06931940152801358,0.5736427037351444
3036.5,-10.76304,71.4326,8.4783,8.5,,14.4626,15.1511,2.4735,24.6857,79.1736,10.3,3036.5,0.33086947368421044,0.10811918367346939,0.24575760858694942,0.8206159999999999,0.33086947368421044,0.17866867924528296,0.09251775968222439,0.18688047530995178,0.10072955574689321,0.11387096774193542,0.060504923599320824,0.246857,0.0979657368421053,0.07923533022071307,0.07923533022071307,1.0,0.07923533022071307,0.5898951960950766
3037.0,-11.26044,69.7012,8.4863,8.5,,14.2629,14.9412,2.4606,24.574,79.1074,10.3,3037.0,0.3126442105263158,0.09222040816326518,0.2521814678886947,0.812326,0.3126442105263158,0.17816905660377358,0.09676358291956305,0.1865138406773576,0.10510836699314707,0.1221935483870968,0.07176706281833617,0.24574000000000001,0.10505010526315792,0.08840858404074704,0.08840858404074704,1.0,0.08840858404074704,0.5989472054329371
3037.5,-12.90445,68.7106,8.4881,8.5,,14.2213,14.8976,2.4622,24.4758,79.0493,10.3,3037.5,0.3022168421052632,0.09144816326530625,0.25353638069900797,0.7849258333333334,0.3022168421052632,0.17773056603773588,0.09904014299900697,0.18619156020356917,0.10750113716484026,0.1211612903225805,0.07241663837011869,0.244758,0.10876042105263156,0.09058852971137513,0.09058852971137513,1.0,0.09058852971137513,0.6071946281833618
3038.0,-13.62725,69.2484,8.4811,8.5,,14.1798,14.8541,2.4707,24.5577,79.0784,10.3,3038.0,0.30787789473684213,0.10212734693877538,0.25489547724817674,0.7728791666666666,0.30787789473684213,0.1779501886792453,0.09778575571002981,0.18635303698607966,0.10618860401686417,0.11567741935483873,0.06601969439728354,0.24557700000000002,0.10703194736842106,0.0865258208828523,0.0865258208828523,1.0,0.0865258208828523,0.6055962843803055
3038.5,-13.85985,70.3239,8.48,8.5,,14.1384,14.8108,2.473,24.4307,79.0117,10.3,3038.5,0.31919894736842097,0.10136408163265294,0.2562556666719649,0.7690024999999999,0.31919894736842097,0.17744679245283024,0.09433461370407158,0.1859827405308328,0.10287056178207414,0.11419354838709682,0.06270984719864181,0.24430700000000002,0.10066747368421058,0.0816886604414262,0.0816886604414262,1.0,0.0816886604414262,0.5991123921901529
